locality,property_type,bhk,bathrooms,area_sqft,age_years,floor_number,furnishing,has_parking,price,locality_enc,prop_type_enc
Adarsh Nagar,Apartment,3,2,1220,8,12,1,1,9380000,0,0
Adarsh Nagar,Apartment,3,3,1080,1,1,1,1,8191000,0,0
Adarsh Nagar,Apartment,1,1,626,6,9,1,1,5261000,0,0
Adarsh Nagar,Apartment,2,1,837,4,13,0,1,6184000,0,0
Adarsh Nagar,Apartment,3,2,1193,6,2,2,0,9089000,0,0
Adarsh Nagar,Apartment,5,5,2013,10,8,0,1,14923000,0,0
Adarsh Nagar,Apartment,2,2,1093,2,12,2,0,8344000,0,0
Adarsh Nagar,Apartment,4,4,1789,2,3,0,0,13245000,0,0
Adarsh Nagar,Apartment,4,3,1561,4,3,1,1,11948000,0,0
Adarsh Nagar,Apartment,3,3,1287,5,7,1,1,9955000,0,0
Adarsh Nagar,Apartment,3,2,990,3,12,0,0,7329000,0,0
Adarsh Nagar,Apartment,1,1,488,2,7,1,0,4057000,0,0
Adarsh Nagar,Plot,1,1,730,7,0,2,1,6877000,0,1
Adarsh Nagar,Plot,1,1,561,3,0,1,1,5932000,0,1
Adarsh Nagar,Plot,2,2,1346,5,0,0,1,13070000,0,1
Adarsh Nagar,Plot,2,1,1197,5,0,1,1,11973000,0,1
Adarsh Nagar,Plot,2,1,1260,2,0,2,1,12553000,0,1
Adarsh Nagar,Plot,4,3,3230,6,0,1,1,27498000,0,1
Adarsh Nagar,Plot,2,2,959,6,0,1,1,9716000,0,1
Adarsh Nagar,Plot,4,4,3379,4,0,2,1,32837000,0,1
Adarsh Nagar,Plot,4,3,3171,4,0,2,1,29779000,0,1
Adarsh Nagar,Plot,4,3,3082,1,0,1,1,27415000,0,1
Adarsh Nagar,Plot,3,2,1424,1,0,1,1,13522000,0,1
Adarsh Nagar,Plot,3,3,1891,4,0,2,1,17843000,0,1
Agra Road,Plot,2,2,1185,8,0,0,1,4656000,1,1
Agra Road,Plot,3,2,1765,1,0,1,1,6988000,1,1
